ontology1,ontology2,metric,value,matcher,experiment
confOf,iasted,precision,0.45454545454545453,AML,exp1
confOf,edas,precision,0.8461538461538461,AML,exp1
cmt,confOf,precision,0.875,AML,exp1
cmt,sigkdd,precision,1,AML,exp1
edas,sigkdd,precision,0.5,AML,exp1
iasted,sigkdd,precision,0.7222222222222222,AML,exp1
ekaw,iasted,precision,0.04827586206896552,LogMap,exp1
cmt,iasted,precision,0.039603960396039604,LogMap,exp1
cmt,ekaw,precision,0.05504587155963303,LogMap,exp1
edas,sigkdd,precision,0.08888888888888889,LogMap,exp1
cmt,edas,precision,0.09411764705882353,LogMap,exp1
confOf,iasted,precision,0.18181818181818182,LogMap,exp1
confOf,sigkdd,precision,0.2777777777777778,LogMap,exp1
confOf,edas,precision,0.7692307692307693,LogMap,exp1
iasted,sigkdd,precision,0.11023622047244094,LogMap,exp1
edas,ekaw,precision,0.17142857142857143,LogMap,exp1
cmt,confOf,precision,0.06578947368421052,LogMap,exp1
edas,iasted,precision,0.12962962962962962,LogMap,exp1
cmt,sigkdd,precision,0.11458333333333333,LogMap,exp1
confOf,ekaw,precision,0.3783783783783784,LogMap,exp1
ekaw,sigkdd,precision,0.05185185185185185,LogMap,exp1
edas,iasted,precision,0.5,RECOMENDADO,exp1
ekaw,sigkdd,precision,1,RECOMENDADO,exp1
ekaw,iasted,precision,0.5833333333333334,RECOMENDADO,exp1
edas,ekaw,precision,0.8333333333333334,RECOMENDADO,exp1
confOf,edas,precision,0.8461538461538461,RECOMENDADO,exp1
cmt,sigkdd,precision,1,RECOMENDADO,exp1
confOf,ekaw,precision,0.8823529411764706,RECOMENDADO,exp1
confOf,iasted,precision,0.45454545454545453,RECOMENDADO,exp1
edas,sigkdd,precision,0.6666666666666666,RECOMENDADO,exp1
cmt,ekaw,precision,1,RECOMENDADO,exp1
iasted,sigkdd,precision,0.7222222222222222,RECOMENDADO,exp1
cmt,iasted,precision,0.8,RECOMENDADO,exp1
confOf,sigkdd,precision,1,RECOMENDADO,exp1
cmt,confOf,precision,0.875,RECOMENDADO,exp1
cmt,edas,precision,1,RECOMENDADO,exp1


