lexicalMetricsAfinity,syntacticMetricsAfinity,structuralMetricsAfinity,matcher,recall
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA,0.4
HIGH,MEDIUM,HIGH,LogMap,0.6
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.4
