lexicalMetricsAfinity,syntacticMetricsAfinity,structuralMetricsAfinity,matcher,precision
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SIBLINGS-SIM_STR_TRIGRAM_IFUICE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SIBLINGS-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,1.0
HIGH,MEDIUM,HIGH,COMA-RES2_SIBLINGS-SIM_STR_COSINE_PPJOINPLUS,1.0
HIGH,MEDIUM,HIGH,COMA-RES2_SIBLINGS-SIM_STR_EQUAL,1.0
HIGH,MEDIUM,HIGH,COMA-RES2_SIBLINGS-SIM_STR_JACCARD,1.0
HIGH,MEDIUM,HIGH,COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.75
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.75
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.75
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.5714285714285714
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.75
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.75
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.75
HIGH,MEDIUM,HIGH,COMA-RES2_LEAVES-SIM_STR_LEVENSHTEIN_LUCENE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_LEAVES-SIM_STR_EDITDIST,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SIBLINGS-SIM_STR_LEVENSHTEIN_LUCENE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SIBLINGS-SIM_STR_EDITDIST,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,1.0
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,1.0
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JAROWINKLER,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,1.0
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,1.0
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,1.0
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,1.0
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_TRIGRAM_COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_TRIGRAM_IFUICE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_TRIGRAM_LOWMEM,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_TRIGRAM_OPT,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_COSINE_PPJOINPLUS,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_JAROWINKLER,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_LEVENSHTEIN_LUCENE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_EDITDIST,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_JACCARD,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_LEAVES-SIM_STR_TRIGRAM_COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_LEAVES-SIM_STR_TRIGRAM_IFUICE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_LEAVES-SIM_STR_TRIGRAM_LOWMEM,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_LEAVES-SIM_STR_TRIGRAM_OPT,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_LEAVES-SIM_STR_LEVENSHTEIN_LUCENE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_LEAVES-SIM_STR_JAROWINKLER,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_LEAVES-SIM_STR_EDITDIST,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.3125
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.3125
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.6666666666666666
LOW,MEDIUM,HIGH,COMA,0.5
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.5555555555555556
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.5714285714285714
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.7142857142857143
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.5714285714285714
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.8333333333333334
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.8333333333333334
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.8571428571428571
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.5
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.46153846153846156
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.46153846153846156
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.46153846153846156
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.8571428571428571
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.8571428571428571
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.5
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.5
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.8571428571428571
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.3333333333333333
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.75
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.75
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.75
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.75
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.75
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.75
HIGH,MEDIUM,HIGH,COMA,0.35714285714285715
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.36363636363636365
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.8
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.8
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.8
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.38461538461538464
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.8333333333333334
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.8333333333333334
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.35714285714285715
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.35714285714285715
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.35714285714285715
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.8333333333333334
