ontology1,ontology2,metric,value,matcher,experiment
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,1,COMA,exp3
source-segment-cmt-conference,target-segment-cmt-conference,precision,1,COMA,exp3
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.4,COMA,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.6666666666666666,COMA,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,COMA,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,COMA,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,COMA,exp3
source-segment-confOf-edas,target-segment-confOf-edas,precision,1,COMA,exp3
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,COMA,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.5,COMA,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,0.5,COMA,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,1,COMA,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,precision,0.6666666666666666,COMA,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,1,AML,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,AML,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.5,AML,exp3
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.6666666666666666,AML,exp3
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,AML,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,AML,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,0.6666666666666666,AML,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,precision,1,AML,exp3
source-segment-conference-edas,target-segment-conference-edas,precision,1,AML,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,1,AML,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,AML,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,AML,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,0.6666666666666666,AML,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,1,AML,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,1,AML,exp3
source-segment-confOf-edas,target-segment-confOf-edas,precision,1,AML,exp3
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,AML,exp3
source-segment-conference-confOf,target-segment-conference-confOf,precision,1,AML,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,0.6666666666666666,AML,exp3
source-segment-cmt-conference,target-segment-cmt-conference,precision,1,AML,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,1,AML,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,1,REDOMA,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,1,REDOMA,exp3
source-segment-conference-iasted,target-segment-conference-iasted,precision,1,REDOMA,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,1,REDOMA,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.6666666666666666,REDOMA,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,1,REDOMA,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,1,REDOMA,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,1,REDOMA,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,1,REDOMA,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,1,REDOMA,exp3
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.6666666666666666,REDOMA,exp3
source-segment-conference-confOf,target-segment-conference-confOf,precision,1,REDOMA,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,1,REDOMA,exp3
source-segment-cmt-conference,target-segment-cmt-conference,precision,1,REDOMA,exp3
source-segment-conference-edas,target-segment-conference-edas,precision,1,REDOMA,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,1,REDOMA,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,precision,1,REDOMA,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,1,REDOMA,exp3
source-segment-cmt-edas,target-segment-cmt-edas,precision,1,REDOMA,exp3
source-segment-confOf-edas,target-segment-confOf-edas,precision,1,REDOMA,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,1,REDOMA,exp3
