ontology1,ontology2,metric,value,matcher,experiment
cmt,ekaw,recall,0.5454545454545454,YAM,exp1
cmt,edas,recall,1,YAM,exp1
ekaw,sigkdd,recall,0.8181818181818182,YAM,exp1
iasted,sigkdd,recall,0.9333333333333333,YAM,exp1
edas,ekaw,recall,0.6521739130434783,YAM,exp1
edas,sigkdd,recall,0.8,YAM,exp1
confOf,ekaw,recall,0.75,YAM,exp1
confOf,sigkdd,recall,0.8571428571428571,YAM,exp1
confOf,iasted,recall,0.4444444444444444,YAM,exp1
edas,iasted,recall,0.42105263157894735,YAM,exp1
confOf,edas,recall,0.631578947368421,YAM,exp1
cmt,confOf,recall,0.4375,YAM,exp1
ekaw,iasted,recall,0.7,YAM,exp1
edas,sigkdd,recall,0.8,AML,exp1
edas,ekaw,recall,0.5217391304347826,AML,exp1
cmt,iasted,recall,1,AML,exp1
ekaw,sigkdd,recall,0.6363636363636364,AML,exp1
ekaw,iasted,recall,0.7,AML,exp1
confOf,sigkdd,recall,0.7142857142857143,AML,exp1
cmt,confOf,recall,0.4375,AML,exp1
confOf,edas,recall,0.5789473684210527,AML,exp1
cmt,sigkdd,recall,0.9166666666666666,AML,exp1
iasted,sigkdd,recall,0.8666666666666667,AML,exp1
edas,iasted,recall,0.42105263157894735,AML,exp1
cmt,edas,recall,0.7692307692307693,AML,exp1
confOf,iasted,recall,0.5555555555555556,AML,exp1
cmt,ekaw,recall,0.5454545454545454,AML,exp1
confOf,ekaw,recall,0.75,AML,exp1
cmt,sigkdd,recall,0.9166666666666666,LogMap,exp1
cmt,confOf,recall,0.3125,LogMap,exp1
confOf,iasted,recall,0.4444444444444444,LogMap,exp1
edas,sigkdd,recall,0.8,LogMap,exp1
confOf,edas,recall,0.5263157894736842,LogMap,exp1
cmt,iasted,recall,1,LogMap,exp1
cmt,edas,recall,0.6153846153846154,LogMap,exp1
cmt,ekaw,recall,0.5454545454545454,LogMap,exp1
iasted,sigkdd,recall,0.9333333333333333,LogMap,exp1
confOf,sigkdd,recall,0.7142857142857143,LogMap,exp1
ekaw,iasted,recall,0.7,LogMap,exp1
ekaw,sigkdd,recall,0.6363636363636364,LogMap,exp1
edas,iasted,recall,0.3684210526315789,LogMap,exp1
confOf,ekaw,recall,0.7,LogMap,exp1
edas,ekaw,recall,0.5217391304347826,LogMap,exp1
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,0.6666666666666666,AML,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.5,AML,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,AML,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.125,AML,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.375,AML,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.25,AML,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.2,AML,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.5,AML,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,0.4444444444444444,AML,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,0.6666666666666666,AML,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,AML,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.2222222222222222,AML,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.3333333333333333,AML,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.2,AML,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,0.6666666666666666,AML,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.3333333333333333,AML,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,AML,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.1111111111111111,AML,exp3
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.25,AML,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,0.4,AML,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.4,AML,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.25,LogMap,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.5,LogMap,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.2,LogMap,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,LogMap,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.8,LogMap,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.8333333333333334,LogMap,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,LogMap,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.2,LogMap,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,0.6666666666666666,LogMap,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,1,LogMap,exp3
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.625,LogMap,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,1,LogMap,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.75,LogMap,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.3333333333333333,LogMap,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,1,LogMap,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.5555555555555556,LogMap,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.625,LogMap,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.8333333333333334,LogMap,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,LogMap,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,LogMap,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.75,LogMap,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,0.6666666666666666,YAM,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.125,YAM,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.25,YAM,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,0.4444444444444444,YAM,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.2,YAM,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,0.6666666666666666,YAM,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.3333333333333333,YAM,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.2222222222222222,YAM,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.4,YAM,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,YAM,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.1111111111111111,YAM,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,YAM,exp3
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.25,YAM,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,0.6666666666666666,YAM,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.5,YAM,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.3333333333333333,YAM,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,YAM,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.5,YAM,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,0.4,YAM,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.375,YAM,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.2,YAM,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,COMA,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,0.6666666666666666,COMA,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.4,COMA,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,0.4,COMA,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.3333333333333333,COMA,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.1111111111111111,COMA,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,0.4444444444444444,COMA,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,COMA,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.375,COMA,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,0.6666666666666666,COMA,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.25,COMA,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,COMA,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.2,COMA,exp3
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.25,COMA,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.2222222222222222,COMA,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.125,COMA,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.3333333333333333,COMA,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.2,COMA,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,0.6666666666666666,COMA,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.5,COMA,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.5,COMA,exp3

source-segment-cmt-edas,target-segment-cmt-edas,recall,0.625,REDOMA,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.5,REDOMA,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,1,REDOMA,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.2,REDOMA,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.5555555555555556,REDOMA,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,0.6666666666666666,REDOMA,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.75,REDOMA,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.25,REDOMA,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,1,REDOMA,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.8333333333333334,REDOMA,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.625,REDOMA,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.8333333333333334,REDOMA,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,1,REDOMA,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,REDOMA,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,REDOMA,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.3333333333333333,REDOMA,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.2,REDOMA,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,REDOMA,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.75,REDOMA,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,REDOMA,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.8,REDOMA,exp3
