ontology1,ontology2,metric,value,matcher,experiment
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.7499999999999999,AML,exp3
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.7999999999999999,AML,exp3
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.8,AML,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.7499999999999999,AML,exp3
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.875,AML,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.7142857142857143,AML,exp3
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.7058823529411765,AML,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.75,AML,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.7142857142857143,AML,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,fmeasure,0.6666666666666666,AML,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.75,AML,exp3
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.6666666666666666,AML,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,1,AML,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0.4,AML,exp3
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.5454545454545454,AML,exp3
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.6666666666666666,AML,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.6666666666666666,AML,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.6153846153846153,AML,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.8000000000000002,AML,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.5714285714285715,AML,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.8571428571428571,AML,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.05714285714285714,LogMap,exp3
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.0273972602739726,LogMap,exp3
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.025157232704402517,LogMap,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.025,LogMap,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,fmeasure,0.02484472049689441,LogMap,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.06493506493506494,LogMap,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.040268456375838924,LogMap,exp3
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.05031446540880503,LogMap,exp3
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.05517241379310345,LogMap,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.04938271604938272,LogMap,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.025477707006369428,LogMap,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.11538461538461538,LogMap,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.040268456375838924,LogMap,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.037037037037037035,LogMap,exp3
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.05952380952380952,LogMap,exp3
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.0547945205479452,LogMap,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.06060606060606061,LogMap,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.040268456375838924,LogMap,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0.027027027027027032,LogMap,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.053691275167785234,LogMap,exp3
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.028985507246376812,LogMap,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.8571428571428571,RECOMENDADO,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0.625,RECOMENDADO,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.8000000000000002,RECOMENDADO,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,fmeasure,0.6666666666666666,RECOMENDADO,exp3
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.9333333333333333,RECOMENDADO,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.7499999999999999,RECOMENDADO,exp3
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.75,RECOMENDADO,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.7499999999999999,RECOMENDADO,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.75,RECOMENDADO,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,1,RECOMENDADO,exp3
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.6666666666666666,RECOMENDADO,exp3
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.8,RECOMENDADO,exp3
